,,,,,,,,,,,,,assay_1,assay_2
Compound,Alias,SMILES,Lot #,Lot Alias,Salt,Solvate,Vendor,PAINS,Bruns-Watson Demerit Score,Assay Count,Plate,Well,percentlabeled,percentlabeled
917190,,CN(C)CCSSCCCNC(=O)c1ccc(cc1)S(=O)(=O)N,1,344,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,E09,,26.5
916923,,NCCSSCCCC(=O)NCc1ccccc1Sc2ccccc2CO,1,76,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,O13,,26.4
917150,,CCOc1cccc(c1)C(=O)NCCSSCCN(C)C,1,304,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,N10,,26.4
917108,,CN(C)CCSSCCNC(=O)Cc1cccc(c1)C(F)(F)F,1,262,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F06,,26.3
917216,,CN(C)CCSSCCCNC(=O)[C@H](O)c1ccccc1,1,370,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,I21,,26.1
994450,,CN(C)CCSSCCNC(=O)c1ccc2nc(O)n(C)c2c1,1,DT95-586-16,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,E18,,26.1
916901,,NCCSSCCNC(=O)\C=C\c1ccccc1Cl,1,54,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,K09,,26
960048,,CN(C)CCSSCCN(C)C(=O)[C@H](CCC(=O)N)NC(=O)OCc1ccccc1,1,,TFA,None,,0,>100,1,SMDC-MPHORE-384-5-02-ECO1,K16,,26
993917,,CN(C)CCSSCCNC(=O)[C@H]1CN(C[C@@H]1c2ccc(OC(F)(F)F)cc2)S(=O)(=O)c3cc(Cl)c(O)c(Cl)c3,1,DT95-505-35(S),TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,E20,,26
994823,,C[C@H](CSSCCN(C)C)C(=O)N1CCC[C@H]1C(=O)N2CCN(Cc3ccc(OC(F)(F)F)cc3)CC2,1,DT95-captopril-G06,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,P13,,26
917692,,CN(C)CCSSCCCNC(=O)c1ccc2c(C)cc(C)c(O)c2n1,1,862,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,N05,,25.9
967221,,CN(C)CCSSCCNC(=O)c1ccc(O)nc1,1,,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,G19,,25.8
994336,,CC(Oc1ccc(Cl)cc1)C(=O)N2CCC(CC2)C(=O)NCCSSCCN(C)C,1,DT95-547F,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,K14,,25.8
917080,,COc1ccc(C(=O)NCCSSCCN(C)C)c(O)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,P09,,25.8
917566,,CN(C)CCSSCCNC(=O)[C@H](CO)N(C)C(=O)OC(C)(C)C,3,,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,K21,,"25.8, 6.7, 11.1"
917447,,CN(C)CCSSCCNC(=O)c1cc(c(F)cc1Cl)S(=O)(=O)N,1,602,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,J06,,25.7
917612,,COc1ccc(C(=O)NCCSSCCN(C)C)c(OC)c1OC,4,,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,K08,,25.6
917558,,CN(C)CCSSCCNC(=O)c1cccc(F)c1,1,717,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,O15,,25.5
917045,,CN(C)CCSSCCNC(=O)Nc1nc(C)cc(O)n1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H19,,25.5
917549,,CN(C)CCSSCCNC(=O)c1cc(N)cc(c1)C(F)(F)F,2,1171,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,L03,,25.4
957798,,CN(C)CCSSCCCNC(=O)c1ccc(F)cc1,1,1318,TFA,None,,0,>100,1,SMDC-MPHORE-384-5-02-ECO1,G17,,25.4
917123,,CN(C)CCSSCCNC(=O)CSc1ncccn1,1,277,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H16,,25.3
994448,,CN(C)CCSSCCNC(=O)c1ccc2nc(cn2c1)C(=O)N,1,DT95-586-13,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,G06,,25.3
917183,,CN(C)CCSSCCCNC(=O)Cc1cccc(c1)C(F)(F)F,1,337,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,C15,,25.2
917729,,CN(C)CCSSCCNC(=O)[C@H]1CCCN(C1)C(=O)CNS(=O)(=O)c2ccc(C)cc2,1,894,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,D10,,25.2
917817,,CN(C)CCSSCCNC(=O)C1CCN(CC1)C(=O)CNS(=O)(=O)c2ccc(C)cc2,1,986,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,E13,,25.2
917734,,CN(C)CCSSCCNC(=O)C1CCN(CC1)C(=O)Cc2ccccc2OCc3ccccc3,1,899,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,D20,,25.1
917952,,CN(C)CCSSCCNC(=O)C1CCN(CC1)C(=O)CCc2ccc(Cl)cc2,1,1188,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,N17,,25.1
916848,,CN(C)CCSSCCC(=O)NC1CCN(Cc2ccccc2)CC1,1,1,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,A03,,25
916950,,COc1ccc(CCC(=O)NCCCSSCCN)cc1Cl,1,103,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,E08,,24.8
917112,,CN(C)CCSSCCNC(=O)c1ccc2OCOc2c1,1,266,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F14,,24.8
917899,,CN(C)CCSSCCNC(=O)c1nccc2ccccc12,1,1121,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,B03,,24.8
917064,,CN(C)CCSSCCNC(=O)Nc1ccc(F)c(C)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,L17,,24.8
916941,,Cc1cc(Cl)ccc1C(=O)NCCCSSCCN,1,94,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,C10,,24.6
917326,,CN(C)CCSSCCNC(=O)[C@@H]1CCCN(C1)C(=O)c2[nH]nc3ccccc23,1,481,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,B03,,24.6
917138,,CN(C)CCSSCCNC(=O)Cc1ccc(cc1)S(=O)(=O)C,1,292,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,L06,,24.5
917880,,CN(C)CCSSCCNC(=O)COc1ccc(F)cc1,1,1101,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,M04,,24.5
917443,,CN(C)CCSSCCNC(=O)c1ccc2cc[nH]c2c1,1,598,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,H18,,24.4
916907,,NCCSSCCNC(=O)c1c(F)cccc1I,1,60,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,K21,,24.3
916945,,NCCSSCCCNC(=O)c1cc([nH]n1)c2ccc(Br)cc2,1,98,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,C18,,24.2
917035,,CN(C)CCSSCCNC(=O)Nc1ccccc1Cl,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F19,,24.2
917116,,COc1cccc(CC(=O)NCCSSCCN(C)C)c1,1,270,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F22,,24
917109,,COc1ccc(CC(=O)NCCSSCCN(C)C)cc1,1,263,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F08,,23.9
917088,,CN(C)CCSSCCNC(=O)c1cccc(O)c1,1,242,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,B06,,23.6
917167,,CN(C)CCSSCCCNC(=O)c1ccc(cc1)C#N,1,321,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,A03,,23.5
917014,,CN(C)CCSSCCC(=O)Nc1ccc(CCO)cc1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,B17,,23.4
